"","x"
"81","RT @noticiAmerica: [EN VIVO] #ANCentral: Marcelo Odebrecht fue interrogado por fiscales peruanos en Brasil <U+25BA> https://t.co/D31wSjQ5vw https:…"
"82","@noticiAmerica Estos ilusos x q tant reserva...ya se sabe quienes stan involucrados quienes tienen signos exteriore… https://t.co/6Qy9r5J6Ko"
"83","RT @noticiAmerica: ¡HOY desde las 9:15 p.m. #JuntémonosParaAlentar a nuestra Selección y vivamos JUNTOS la previa del encuentro PERÚ VS. NU…"
"84","@noticiAmerica Y lo de odebrecht??? Se led olvidó informar? ????"
"85","RT @MininterPeru: @CarlosBasombrio @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21n…"
"86","Además, por primera vez, se celebrará una jornada especial en Cuzco https://t.co/Q43FEt7ul2"
"87","@noticiAmerica Sólo estan pidiendo nivelación de pensiones, hay diferencia por una ley arbitraria q saco Ollanta y Araoz."
"88","@noticiAmerica Bamos peru. Que todo se puede"
"89","#ANDigital Mira el noticiero EN VIVO de lunes a viernes a la 1:30 p.m.  vía Facebook LIVE <U+25BA> https://t.co/e0nzbo79bJ https://t.co/IsRALTat2F"
"90","Mandatarios destacaron el vínculo histórico entre ambos países https://t.co/Us7MjOcZM0"
"91","¡HOY desde las 9:15 p.m. #JuntémonosParaAlentar a nuestra Selección y vivamos JUNTOS la previa del encuentro PERÚ V… https://t.co/sFDG7Qp1an"
"92","RT @DanielUrresti1: Esta es la prueba más clara de q se  les viene la noche! Hasta hace poco se peleaban por ser su amigo, por salir en la…"
"93","RT @noticiAmerica: Denuncian millonarios envíos de madera ilegal desde Perú hacia México y EE.UU. <U+25BA> https://t.co/eHw7QxbrgM https://t.co/9U…"
"94","@MininterPeru @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo… https://t.co/60HjfmUHJo"
"95","#Asorepel apoyando a la selección #todossomosperu @RPPNoticias @noticiAmerica @elcomercio_peru https://t.co/4fsiYW3Rx2"
"96","@noticiAmerica Feliz trabajando. Atención al publico. Comisaría de villa chorrillos. Hugo flores https://t.co/ClzlUyow19"
"97","@CarlosBasombrio @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo… https://t.co/FtklfgZz1i"
"98","@MininterPeru @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo… https://t.co/72IfLpgwmt"
"99","@noticiAmerica claro q si dbria haberse hecho hace tiempo ya q es parte dla historia negra del Perú y q dbn conocer… https://t.co/RMbzex5EY4"
"100","Atención y fiscalización! Nuestra Amazonía debe ser protegida conforme a ley @OEFAperu @MinamPeru @GORELoreto… https://t.co/FbE9B6btAO"
"101","@MininterPeru @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo… https://t.co/yOtUcY0ba9"
"102","@MininterPeru @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo… https://t.co/jlahHnEVxg"
"103","@Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias… https://t.co/MtwLYTzUFJ"
"104","RT @noticiAmerica: Denuncian millonarios envíos de madera ilegal desde Perú hacia México y EE.UU. <U+25BA> https://t.co/eHw7QxbrgM https://t.co/9U…"
"105","Denuncian millonarios envíos de madera ilegal desde Perú hacia México y EE.UU. <U+25BA> https://t.co/eHw7QxbrgM https://t.co/9U4V8SnFXb"
"106","@Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias… https://t.co/HSz2uq6MWy"
"107","@BJmelgarejo @noticiAmerica @UrsulaLetonaP ...... !!!, insisto, t representa muy bien"
"108","RT @MiguelAleRojas1: @noticiAmerica #ElRepechajeLoVeoEn en mi casa con toda mi familia, vamos perú carajo!! https://t.co/yPuFRrXpZo"
"109","RT @noticiAmerica: #PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA> https://t.c…"
"110","@Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias… https://t.co/ZUMzO0TE3E"
"111","RT @MininterPeru: @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias @noticiAm…"
"112","RT @jimmybussol: @canalN_ @noticiAmerica Barata confirma que GyM si sabia de las coimas!!! https://t.co/pmuJ8231mE"
"113","@Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias… https://t.co/8LZRsRMluC"
"114","Y ustedes @PanamericanaTV @Latina_pe @noticiAmerica https://t.co/FyrPaJsK0r"
"115","RT @jimmybussol: @RPPNoticias @canalN_ @noticiAmerica BASURA FUE DESDE LA GUERRA CON CHILE QUE SE PUSO AL SERVICIO DEL INVASOR!!! https://t…"
"116","RT @jimmybussol: @canalN_ @noticiAmerica Barata confirma que GyM si sabia de las coimas!!! https://t.co/pmuJ8231mE"
"117","Michael F. Munro dijo que esperan que la sociedad brinde una segunda oportunidad a Odebrecht  https://t.co/imYc92Wa05"
"118","RT @MininterPeru: @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias @noticiAm…"
"119","RT @jimmybussol: @canalN_ @noticiAmerica Barata confirma que GyM si sabia de las coimas!!! https://t.co/pmuJ8231mE"
"120","RT @MininterPeru: @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias @noticiAm…"
"121","@Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias… https://t.co/Ju3yycS4A1"
"122","RT @MininterPeru: @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias @noticiAm…"
"123","@noticiAmerica Este tipo dira cualquier cosa ya q aún mantiene Empresas vinculadas en PERÚ ademas de no delatar a t… https://t.co/OoyjEMIEoA"
"124","RT @noticiAmerica: #PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA> https://t.c…"
"125","@Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias… https://t.co/w9bVxRjCZl"
"126","RT @noticiAmerica: #PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA> https://t.c…"
"127","@noticiAmerica Jajajaja"
"128","@noticiAmerica #ElRepechajeLoVeoEn en mi casa con toda mi familia, vamos perú carajo!! https://t.co/yPuFRrXpZo"
"129","@noticiAmerica las leyes deben ser de beneficio MASIVO SOCIAL."
"130","@noticiAmerica Para que hablen de alejar la corrupción primero deben de pedir que su patrona Keiko se comprometa a… https://t.co/lnuxFuI2vS"
"131","@AlexandraHorler @o_somocurcio @cokigonzales @peru21noticias @Phill_Butters @E_FLEISCHMAN  @rppdeportes… https://t.co/4lB5JtgipI"
"132","@noticiAmerica Hoy a ganar si o sii"
"133","@noticiAmerica Debe ser el elegido por Gareca y q a conciencia se sienta capaz d desempeñar el puesto del Capitán s… https://t.co/bt9doBoJwM"
"134","RT @ELV1221: @noticiAmerica Este cada vez está más cinico.. Primero dijo que era una acción personal su demanda contra el fiscal y ahora lo…"
"135","@noticiAmerica Comienza a zafar el pasmarote"
"136","@noticiAmerica Este cada vez está más cinico.. Primero dijo que era una acción personal su demanda contra el fiscal… https://t.co/ymHMZOIn4K"
"137","RT @noticiAmerica: #PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA> https://t.c…"
"138","RT @noticiAmerica: #PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA> https://t.c…"
"139","RT @noticiAmerica: #PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA> https://t.c…"
"140","RT @noticiAmerica: #PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA> https://t.c…"
"141","RT @noticiAmerica: #PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA> https://t.c…"
"142","#PerúvsNuevaZelanda: la prensa internacional está a la expectativa del repechaje de esta noche #ArribaPerú <U+25BA>… https://t.co/m2HnuPzkVW"
"143","Medida beneficiará a las familias de los miembros de estas instituciones https://t.co/PeqLFJiTuN"
"144","RT @cristofersancol: @noticiAmerica Jajaja...pero si su abogado no ah filtrado que están libres de polvo y paja...jajaj total, quién los en…"
"145","@noticiAmerica Que indignante...!!!! estamos en un pais sin moral,que ocupan cargos sin merecerlos."
"146","Smartick: el método más fácil y divertido para destacar en matemáticas https://t.co/woNciLBaoN via 
 @noticiAmerica"
"147","@noticiAmerica Paso"
